review,category
login gagal walah nasib gimana ini klo pulkam nilai rata datar semua kan nganga tolong ya minimal ada alternatif untuk presensi hubung lagi covid yah walaupun gagal login palinga kanteng lega,4
nice,3
maaf saya mau tanya ini bagaimana tosaya kan uninstall amikom one karena force close terus lalu saya install lagi nah ketika login amikom one malah login gagal terus tolong masuk,4
tolong dong kalo kuliah online kayak gin untuk guna ios susah masa harus chat dosen mulu tiap kuliah heran dan untuk absen di airylab udah gak bisa di ios tolong dong biar kita semua bisa rasa rata,7
tarik,2
ok,1
mantap bos,3
oke,1
manfaat dong yang,1
wahh mantap sekali saya bangga dengan amikom one,3
aplikasi bagus,1
aplikasi sangat bantu mahasiswa amikom,1
detail presensi kalau bisa di buat bulan,1
mudah mahasiswa amikom,1
masa di android kitkat gabisa masuk app nya,4
coba di setting kalau app update user tidak harus download dulu supaya bisa buka aplikasi karna ada beberapa user yang ada kendala kalau terus terus paksa update app,7
aplikasi force close aplikasi henti sendirisetelah saya uninstall dan install lagi kok gabisa login tolong gimana ya,4
sangat bantu dalam manjalani kuliah,1
mantap jiwa kampus ungu yg trbaik,3
aplikasi sudah cukup bagus dan bisa di tambah lagi beberapa fitur lain yang,1
bantu mahasiswa banget,1
force close,4
luar biasa,2
update nya kurang cepat,2
kembang terus,1
mantul,1
kalau bisa di tambah fitur riwayat presensi agar mahasiswa yang presensi tidak cantum tidak memilikin bukti kalau sudah pernah laku prrsensi,5
notifikasi atau alarm ingat jam kuliah lebih di mudah lagi kerenn mantap om asipap thanks amikom ni ce amikom emang,3
kereenn,1
sangat manfaat min,1
gak bisa login udah reinstall berkalikali ga pengaruh,4
nice,1
bagus,1
good,1
ga ada gamenya jd gak asik,3
good,1
mantull,1
guna ios amikom butuh naiss telah di update aplikasi,7
gak bisa di buka segera di baik,4
terima kasih skrg bisa absen di rumah,2
tambahin buat fersi ios dong,7
aplikasi mash force close sudh reinstall brpa kali masih tetep force close device xiomi redmi note,4
kembang lagi,2
amikom keren,1
good,1
klo bisa gak harus aktifin lokasi baru bisa buka amikom one,2
mantap banget nih,3
bguss,1
bagus sekarang ui nya lebih friendly drpr versi kmrn,1
joss,1
terus kembang,1
sudah cukup bagus mungkin tambah lagi fiturfitur lai seperti yang ada pada website mahasiswa,1
amikom namber wan yg lai sepele,1
mantap jiwa cuk,3
mantap sekarang bisa presensi,1
barusan update malah gak bisa login,4
baik lagi sehingga bisa di semua device,2
buat ios dong kapan,7
kampus ungu mantul sekali tetap update,3
good,1
selalu tingkat,3
kampus ungu lope lope,1
keren,1
kenapa sering gk sambung paket ada wifi juga ada tapi kadang tdk mau merespon,5
sangat mudah,2
ngga bisa dibukaa eror teruss,4
mantap,3
presensi eror,4
tolong dong support ios,7
aplikasi masih force close sudah ikutin cara reinstall tapi tetap force close mohon bantu,6
mohon di laku baru lagisoalnya saya ketika bukak app nya selalu terhentisudah saya instal dan uninstal banyak lebih hasil samatolong ya admin,6
sangat manfaat dan bantu dalam giat kuliah di universitas amikom yogyakarta,1
good,1
untuk jadwal kuliah mungkin bisa unduh jadi offline biar lebih gampang di cek pas nggak punya kuota internet,2
bagus baik sangat bantu sekali,1
good,1
tambahin lagi fitur nya pak,2
min udah diupdate masih tetep keluar logo langsung keluar,4
mantap,3
bisa ngak ya klu misal aplikasi ad fitur scan sidik jari klu misal smartphone nya support buat finger jadi lebih tinggi aman nya gk bakal ketuker di fitur login nya mungkin fitur presensi yg lain jadi lebih cepet jadi btw lebih oke tampil dari yg belum simple cuma kadnulasan lengkap,2
sangat bantu urus kuliah,1
kerenn bgtt,1
mudah mahasiswa nya untuk akses informasi dalam aplikasi ini,1
sudah lulus baru ada apps begini,7
nice,1
mantab,1
mntap,1
ui nya sudah bagus ntapss,1
masih force close udh hampir kali instal ulang,4
mohon di beri terang teori atau praktikum presensi seperti versi belum terima kasih,5
mantap mantap,3
oke udah bisa buka mau kasih saran itu tampil homenya ubah lagi biar ga dominan putih gitu,3
mantap,3
versi baru keren bangett,1
wow sungguh sangat bantu,1
banyak bantu mahasiswa,1
ui keren,1
bagus,1
bagus,1
jos mantap sudah mau ubah cuman koherensi size font icon dan shape box perlu di perhati lagi saya harap ada fitur baru dari aplikasi ini syukuf bisa buat dispen bayar spp dll,2
akhir bisa buka dan isi bagus,1
mudah guna desain bagus,1
lumayan bagus sekarang tapi mesti uninstal dulu belum pake,3
aplikasi bug gk bisa buka,4
ios dong kak,7
moga aplikasi nya bisa seperti apk si montok,2
uxui nya bagus sih habis update,1
good,1
nah gitu donk fix bugnya,3
good,1
saran dari saya mungkin akan lebih enak lihat jika aplikasi ini milik fitur dark mode yang sekarang sedang booming itu hanya saran dari saya terima kasih,1
oke update an baru bisa buka makin mudah mahasiswa terima kasih,1
selain jadwal mungkin lebih sgt guna kalo ada fitur tugas jadi kalo lupa ada tugas kuliah bisa cek di aplikasi,5
aplikasi apa ini cuma ada di playstore,3
sangat manfaat dan mudah d guna,1
kok nilai ada yg beda dari web ya blm diupdate nilai atau gimana,6
gabisa buka di hp samsung duos padahal sudah lebih dari kali saya uninstal tetap aja amikom one telah henti ketika buka,4
kapan ios ada min,7
tolong server amikom beli yg bagus biar ga mudah penuh kuota sering bgt pas jam masuk aplikasi ini gabisa buka mohon baik,6
nggak bisa di buka,4
tidak competible di beberapa handphone biasa di download tapi tidak bisa buka di klik icon malah close moga segera di baik lagi,4
feeling good,1
keren banget,1
mantab,1
aplikasi saat konek internet tidak bisa di buka android redmi note,4
di hp sy tidak bisa di buka padahal sudah update sudah uninstal dan instal ulang ttp tdk bisa di buka,4
pada saat scroll bagi amikom news aplikasi jadi kurang responsif agak ngadat laggy,4
kan anak kampus unguu,3
ui baru mantap,1
di hp saya walaupun sudah update tapi gabisa buk udah coba kali kali masih aja samaterimakasih amikom,4
kadang masih suka eror masa udah presensi lewat scan qr bom muncul di sistem,4
nggak bisa buka eror min,4
aplikasi ga bisa buka di oppo segera baik,5
aplikasi tidak bisa di buka saya sudah update dan sudah beberapa kali saya uninstall dan saya download lg hasil sama saja mohon bantu,5
aplikasi nya gak bisa buka sama sekali di hp xioumi redmi pro tolong di baik,5
habis update malah gak bisa di buka tolong di fix kan lagi,5
wela kok gabisa buka stelah update,5
tidak bisa buka,4
sudah baru malah aplikasi tidak bisa buka,5
aplikasi ya bug ketika guna scan code waktu masukin kode dapat notif presensi hasil tetapi tidak masuk ke sistem presensi di depan kalau qr codenya belum coba mohon di fix,5
mantap lah,3
aplikasi yg sangat bantu dar saran bagi yg blm bisa masuk force close terus silah coba uninstall apk terus download lagi,1
raiso didownload mergane hpku kentang,5
kak aku udah uninstal terus instal lg tapi tetap force close atau mungkin android ku mas versi tolong di fix kak,5
gaada di ios,7
appikasi nya auto close tolong di fix,4
kok ada notifikasi amikom one terus henti,4
dark mode tambahin sekali kalender akademik,3
telah di update sering force close punya teman saya juga sama mohon untuk cepat di fix,4
stelah d update force close slur android,4
ngecrash mulu di hp xiaomi redmi tidak bisa masuk,4
ini ko pas mu buka telah di update malah sering keluar pas mau buka keluar sendiri lagi,5
mantap,3
habis update maretga bisa buka appnya force close mulu,4
fc bos ditambahin kalau dah bener,4
nggk bisa di buka kakak force close mulu,4
cukup mudah akses untuk lihat jadwal dan beberapa fitur lai sedikit saran dari saya terkadang ada di beberapa saat kami tidak punya akses internet khusus untuk jadwal bisa di tambah fitur offline atau bisa download jadwal dalam bentuk pdf atau bahkan walpapper untuk mudah kami nulasan lengkap,3
masih bug telah update upa force close pada beberapa device mohon di fix karena aplikasi ini mudah kami terimakasih,5
good,1
baik aplikasi di hp oppo,5
force close terus kak telah di update,4
aplikasi crash telah selesai loading,4
gak bisa bukak,5
telah update napa ga bisa buka,5
tampil baru bagus,1
telah update aplikasi nya terus henti pas saat mncul logo mohon segera baik,4
telah update ga bisa di buka,4
nice,2
masih stuck logo min help solved,5
telah di update ke aplikasi tidak bisa di buka di hp saya mohon di baik terimaksih,5
ini kenapa habis diupdate malah gabisa buka,6
telah di update kok malah force close om,6
knp telah update gak bisa buka di android,4
good,1
updatean baru malah forse close,5
udah di update tapi enggak bisa buka,5
masih nge bug,5
tidak ada yg sempurna di dunia ini,5
good,1
mas mbak kog abis update gk bisa dbuka ya apk telah henti ada problem apa gerangan,5
oke mantap,3
bagi yang alami crash telah masuk splash screen bisa di uninstal lebih dahulu aplikasi amikom one yang lama kemudian download kembali aplikasi amikom one baru di playstore,6
sangat bantu sekali jadi egk perlu ribet liat jadwal ke mhsamikom lgi,2
force close trus nih pas udh update knp ya,4
sangat bantu dan guna yang mudah kimakwaauu telah baru apk nya ga bisa buka kok stuck logo ya min habis update aplikasi nya crash sangat bantu dalam absen dan lihat info jadwal nilai dll,2
mantap,3
mantap,3
ayo diupdate min seperti di landing page website amikom,2
aplikasi sangat bantu sekali buat mahasiswa saran dari saya baik ketika klik transkip nilai dalam kasih fitur search nya biar mudah ecek yang nilai yang pengin cari tanpa ngecek dengan scrol biar effisien saran lanjut kasih fitur jadwal uas utsremidial juga nulasan lengkap,2
sayang gaada di appstore jd cmn android aja yg bisa akses amikomone,7
bgos klo mau absen gausah susah maju tnggal scan sadja,2
sering server down,4
mantapp mantapp,3
ada cuma di android ras amat yang di ios di kucil,7
sering ga bisa d buka,6
severnya jelek banget lot tolong di baik yaa,6
susah buka presensi,5
tidak bisa buka persensi selalu muncul tidak ada koneksi internet,5
sangat bantu,2
kenapa kalo mau liat data presensi keluar tulis tidak ada internet padahal kalo buka yang lai seperti jadwal bisa,6
ditambahai kalender akademik,2
ayo update ros,3
so far so gud,1
mantap,3
tolong dilancarin lgi koneksi nya jangan loding nya lama kalau lihat jabwal nya,2
mantab,2
buat amikom ya bukan akakom,1
aplikasi nya bagus sihtapi lebih bagus lagi di tambah fitur go food dan untuk bayar spp bisa lewat ovo,1
saya lupa password saya apa yg harus daya laku,5
mantap lah amikom emg depan,2
sangat bagus,1
mantap,3
the best,1
guud,1
saya sih yes,1
ok,1
good,1
tambah kalender akademik amikom dong,2
mantaapp,3
mantap,3
ok,2
apliaksinya bagus banget dan sangat bantu,2
sangad bantu dalam bidang masak mie goreng dan nasi,2
saya suka karna almamater nya mirip ugm,2
mudahsantaidan gk ribet,2
applikasi nya keren nice ok mantull apliksi tidak bisa buka stuck logo amikom bukan hanya hp saya temen saya juga v segera di fix v,3
moga bisa lebih kembang lagi dalam hal software,3
mantapp jiwaa,3
untuk bagi jadwal bisa tambah lagi terang belum uts atau telah uts,2
great app amikom,2
sangat bantu,1
mantap,3
alhamdulillahsangat bantu,1
ini baru kampus it,1
lama loading nya,5
helpful,2
mantap,3
belum coba sih,3
sangat bantu mahasiswa dalam mudah urus kuliah,2
aplikasi yang sangat bantu mahasiswa amikom,2
sangat bantu,2
tunggu di app store,7
min coba dong buat update ke depan jadwal uji mahasiswa juga dimasukkin ke sini jdi biar gk ribet buka web mhs atau ss jadwal mulu trims,3
good,1
sangat bantu,2
tambah jadwal uji,2
aplikasi keren tapi ga bisa di pake untuk kampus lain wkwk,2
okee,1
nggak bisa masuk om,4
aplikasi yg sudah sejak decade lalu,6
tolong di sedia buat platform ios dong kesi temen saya hp iphone mahal mahal gk bisa presensi,6
nice app,1
bagus,1
presensi gagal teruss,6
nice,1
sangat bagus dan bisa mudah bagi mahasiswa yang tidak atau lupa ktm,1
kami cinta pak yanto,2
bagus mudah mahasiswa,2
gak bisa masuk ini pas dibutuhin lagi uts malah masalah baik dulu masih banyak kurang,2
bagus,1
sangat bantu,1
good feature and simple to use hope the application have more feature in the future like example integrated with canteen system,1
tambah fitur log out,2
sangat bantu kami mahasiswa the best tingkat terus,2
apa hubung dengan pubg ini aplikasi amikom bukan aplikasi game ini bagus,6
gabisa di zoom scan harus maju depan sama aja boong,3
mau ga mau instal apl ini untuk presensi,3
kalau bisa sekali tambah fitur buat lihat jadwal kelas lain,2
good,1
mantul,1
bagus,1
tidak bisa guna untuk tingkat kualitas grafikl pubg,5
sangat baik,1
boleh kerja sama ini,7
saya cinta pak rektor,1
wahh sangat bantu bagi mahasiswa,1
mending gabisa di logouthapus data biar susah pada titip presensi,1
mantap jiwa tampil baik lagi,3
nice,1
mntap,1
gak bisa login akun jadi gak bisa titip absen,4
tolong scannernya agar bisa di zoom kasihan kalau kelas udah telat duduk paling belakang pula,3
mantull,1
ditambahin kalender akademik news tentang amikom dan sinkronisasi old amikom dan mhs amikom,2
bagus bisa buat cheat pubg,5
untuk console masih ngelag padahal saya udah pakai iphone,7
